b7874.lon6  rac1        Up     Normal  76.19 GB        1.04%               3650918097921682091                         
a6.lon3  rac1        Up     Normal  233.02 GB       0.00%               3843071682022823254                         
b8026.lon6  rac1        Up     Normal  77.75 GB        1.04%               4035225266123964417                         
a7763.lon6  rac1        Up     Normal  135.32 GB       0.00%               4227378850225105579                         
b8081.lon6  rac1        Up     Normal  78.31 GB        1.04%               4419532434326246742                         
a7.lon6  rac1        Up     Normal  247.63 GB       0.00%               4611686018427387905                         
b8614.lon6  rac1        Up     Normal  77.37 GB        1.04%               4803839602528529067                         
a7976.lon6  rac1        Up     Normal  197.44 GB       0.00%               4995993186629670230                         
b8673.lon6  rac1        Up     Normal  77.62 GB        1.04%               5188146770730811393                         
a2188.lon6  rac1        Up     Normal  251.58 GB       0.00%               5380300354831952555                         
b8800.lon6  rac1        Up     Normal  77.08 GB        1.04%               5572453938933093718                         
a8321.lon6  rac1        Up     Normal  133.4 GB        0.00%               5764607523034234881                         
b892.lon6  rac1        Up     Normal  77.22 GB        1.04%               5956761107135376043                         
a8.lon6  rac1        Up     Normal  293.71 GB       0.00%               6148914691236517206                         
b9182.lon6  rac1        Up     Normal  77.39 GB        1.04%               6341068275337658369                         
a8961.lon6  rac1        Up     Normal  186.43 GB       0.00%               6533221859438799531                         
b9201.lon6  rac1        Up     Normal  76.27 GB        1.04%               6725375443539940694                         
a5351.lon6  rac1        Up     Normal  293.38 GB       0.00%               6917529027641081857                         
b9271.lon6  rac1        Up     Normal  78.76 GB        1.04%               7109682611742223019                         
a9346.lon6  rac1        Up     Normal  136.34 GB       0.00%               7301836195843364182                         
b9443.lon6  rac1        Up     Normal  77.1 GB         1.04%               7493989779944505345                         
a9.lon6  rac1        Up     Normal  268.7 GB        0.00%               7686143364045646507                         
b9602.lon6  rac1        Up     Normal  77.09 GB        1.04%               7878296948146787670                         
a9742.lon6  rac1        Up     Normal  203.45 GB       0.00%               8070450532247928833                         
b9848.lon6  rac1        Up     Normal  78.37 GB        1.04%               8262604116349069995                         
a4377.lon6  rac1        Up     Normal  298.16 GB       0.00%               8454757700450211158                         
b987.lon6  rac1        Up     Normal  76.72 GB        1.04%               8646911284551352321                         
a9884.lon6  rac1        Up     Normal  133.97 GB       0.00%               8839064868652493483                         
b991.lon6  rac1        Up     Normal  77.11 GB        1.04%               9031218452753634646                         
