a1.lon6  rac1        Up     Normal  272.68 GB       0.00%               -9223372036854775807                        
b1057.lon6  rac1        Up     Normal  106.56 GB       1.04%               -9031218452753634645                        
a2508.lon6  rac1        Up     Normal  184.03 GB       0.00%               -8839064868652493482                        
b1195.lon6  rac1        Up     Normal  76.6 GB         1.04%               -8646911284551352319                        
a1.lon3  rac1        Up     Normal  251.92 GB       0.00%               -8454757700450211157                        
b1213.lon6  rac1        Up     Normal  78.23 GB        1.04%               -8262604116349069994                        
a2852.lon6  rac1        Up     Normal  134.03 GB       0.00%               -8070450532247928831                        
b1428.lon6  rac1        Up     Normal  77.04 GB        1.04%               -7878296948146787669                        
a10.lon6  rac1        Up     Normal  280.61 GB       0.00%               -7686143364045646506                        
b1581.lon6  rac1        Up     Normal  78.75 GB        1.04%               -7493989779944505343                        
a3065.lon6  rac1        Up     Normal  187.94 GB       0.00%               -7301836195843364181                        
b1584.lon6  rac1        Up     Normal  82.64 GB        1.04%               -7109682611742223018                        
a8632.lon3  rac1        Up     Normal  243.58 GB       0.00%               -6917529027641081855                        
b2194.lon6  rac1        Up     Normal  78.02 GB        1.04%               -6725375443539940693                        
a3723.lon6  rac1        Up     Normal  136.83 GB       0.00%               -6533221859438799530                        
b2429.lon6  rac1        Up     Normal  77.14 GB        1.04%               -6341068275337658367                        
a11.lon6  rac1        Up     Normal  269.34 GB       0.00%               -6148914691236517205                        
b2618.lon6  rac1        Up     Normal  76.79 GB        1.04%               -5956761107135376042                        
a397.lon6  rac1        Up     Normal  186.79 GB       0.00%               -5764607523034234879                        
b2727.lon6  rac1        Up     Normal  78.57 GB        1.04%               -5572453938933093717                        
a4397.lon6  rac1        Up     Normal  252.79 GB       0.00%               -5380300354831952554                        
b3981.lon6  rac1        Up     Normal  76.62 GB        1.04%               -5188146770730811391                        
a4735.lon6  rac1        Up     Normal  135.04 GB       0.00%               -4995993186629670229                        
b4032.lon6  rac1        Up     Normal  76.68 GB        1.04%               -4803839602528529066                        
a13.lon6  rac1        Up     Normal  264.53 GB       0.00%               -4611686018427387903                        
b4356.lon6  rac1        Up     Normal  77.46 GB        1.04%               -4419532434326246741                        
b7610.lon6  rac1        Up     Normal  78.33 GB        0.00%               -4227378850225105578                        
b4597.lon6  rac1        Up     Normal  77.35 GB        1.04%               -4035225266123964415                        
a1675.lon6  rac1        Up     Normal  306.4 GB        0.00%               -3843071682022823253                        
b4606.lon6  rac1        Up     Normal  77.66 GB        1.04%               -3650918097921682090                        
a5285.lon6  rac1        Up     Normal  135.27 GB       0.00%               -3458764513820540927                        
b4728.lon6  rac1        Up     Normal  78.15 GB        1.04%               -3266610929719399765                        
a2.lon6  rac1        Up     Normal  243.49 GB       0.00%               -3074457345618258602                        
b4913.lon6  rac1        Up     Normal  78.23 GB        1.04%               -2882303761517117439                        
